No.,キャラクター名：左 = 1,キャラクター名：右 = 2,キャラクター画像：左,キャラクター画像：右,,,,0
初期値,みぃちゃん,こっしくん,asset\texture\NormalMii-chan.png,asset\texture\NormalKossi.png,,,,0
,↓どっちも話さない = 3,,,,,↓どっちも話さないときに表示させる画像,,0
No.,キャラクター(左:1 or 右:2),会話文：１行目,会話文：２行目,"文字サイズ(大,小)に変更, 初期値:中",表情を変えたい = 1,変えたい画像,名前変更,0
1,1,あれ？だれもいないよ？,こっしくんどーしよう？,,1,asset\texture\SurprisedMii-chan.png,,0
2,2,おかしいなー。,確かにこの場所で合ってるはずなんだけど、、,,,,,0
3,1,こっしくん見て！あそこに手紙が置いてある！！,,,,,,0
4,2,見てみよう！,,,,,,0
5,3,,,,,asset\texture\letter1.png,,0
6,1,みてみて！宛先に地球って書いてあるよ！,,,,,,0
7,2,大事な手紙かもしれないね。,みぃちゃん届けてあげようよ！,,,,,0
8,1,まかせて！,地球に行ってみよう！,,1,asset\texture\SmileMii-chan.png,,0
