No.,キャラクター名：左 = 1,キャラクター名：右 = 2,キャラクター画像：左,キャラクター画像：右,,,,0
初期値,みぃちゃん,こっしくん,asset\texture\NormalMii-chan.png,asset\texture\NormalKossi.png,,,,0
,↓どっちも話さない = 3,,,,,↓どっちも話さないときに表示させる画像,,0
No.,キャラクター(左:1 or 右:2),会話文：１行目,会話文：２行目,"文字サイズ(大,小)に変更, 初期値:中",表情を変えたい = 1,変えたい画像,名前変更(名前書く),0
1,1,とーちゃく！！,,,1,asset\texture\SmileMii-chan.png,,0
2,2,みぃちゃんおつかれさまー！,(また荒い操縦だったな...),,,,,0
3,1,たくさん人がいるねー,すごくきれいな星だ！,,,,,0
4,1,手紙の宛先の人はどこかな,,,,,,0
5,2,あそこにいるひとじゃない？,行ってみよう！,,,,,0
6,1,すみませーん,,,,,,0
7,2,どーしました？,,,1,asset\texture\girl.png,娘ちゃん,0
8,1,この手紙を見つけて届けに来ました！,,,,,,0
9,2,あ！ぱぱの字だ！,,,1,asset\texture\girl.png,娘ちゃん,0
10,1,良かったです！読んでみてください！,,,1,asset\texture\SmileMii-chan.png,,0
11,2,それじゃあ開けてみるね,,,1,asset\texture\girl.png,娘ちゃん,0
12,3,,,,,asset\texture\letter2.png,,0
13,2,いやーん,ぱぱったら私のこと心配してくれてるのね,,1,asset\texture\girl2.png,娘ちゃん,0
14,1,(こんな手紙のために私は地球に来たのか。),,,1,asset\texture\SurprisedMii-chan.png,,0
15,2,(えぇ…おじさん構文じゃん...),,,1,asset\texture\Kossi.png,,0
16,2,届けてくれてありがとうございました！,,,1,asset\texture\girl2.png,娘ちゃん,0
17,1,喜んでもらえてよかったです！,,,,,,0
18,2,これで任務完了だね！,ぼくたちの星に帰ろっか！,,,,,0
19,1,そーだね！帰ろう！,,,1,asset\texture\SmileMii-chan.png,,0
